gene_name	AS_event_position	AS type	regulator	regulation	eCLIP (POSTAR3)	other CLIP (POSTAR3)	reports in papers
CPSF7	exon 4	essential exon	SNRPB	NMD-inhibiting	0	0	0
DLG4	exon 17	essential exon	PTBP1	NMD-promoting	1	1	0
DLG4	exon 17	essential exon	PTBP2	NMD-promoting	0	0	0
EZH2	exon 8a	poison exon	SRSF2	NMD-promoting	0	0	1
FUS	exon 7	essential exon	FUS	NMD-promoting	1	0	0
FUS	exon 7	essential exon	TARDBP	NMD-inhibiting	0	0	1
GABBR1	exon 15	essential exon	PTBP1	NMD-promoting	1	1	0
HNRNPA2B1	3'UTR	intron detention	HNRNPA1	NMD-promoting	1	1	1
HNRNPA2B1	3'UTR	intron detention	HNRNPA2B1	NMD-promoting	0	0	0
HNRNPD	3'UTR	poison exon	HNRNPD	NMD-promoting	0	1	0
HNRNPD	3'UTR	poison exon	HNRNPDL	NMD-promoting	0	0	0
HNRNPDL	3'UTR	poison exon	HNRNPD	NMD-promoting	0	0	0
HNRNPDL	3'UTR	poison exon	HNRNPDL	NMD-promoting	0	0	1
HNRNPL	exon 6a	poison exon	HNRNPL	NMD-promoting	0	0	1
HNRNPL	exon 6a	poison exon	HNRNPLL	NMD-promoting	0	0	1
HNRNPL	exon 6a	poison exon	SRSF3	NMD-inhibiting	0	0	0
HNRNPLL	exon 6a	poison exon	HNRNPL	NMD-promoting	0	0	0
HPS1	exon 18	poison 5' splice site	PTBP1	NMD-inhibiting	0	1	1
INTS3	intron 4	intron retention	SRSF2	NMD-promoting	0	0	0
LMNA	exon 2a	poison exon	PTBP1	NMD-inhibiting	0	1	0
LMNA	exon 2a	poison exon	PTBP2	NMD-inhibiting	0	0	0
MDM4	exon 6	essential exon	SRSF11	NMD-promoting	0	0	0
MDM4	exon 6	essential exon	SRSF3	NMD-inhibiting	0	0	1
MDM4	exon 6	essential exon	SRSF7	NMD-promoting	0	0	0
MDM4	exon 6	essential exon	SRSF9	NMD-promoting	0	0	0
PTBP1	exon 11	essential exon	PTBP1	NMD-promoting	0	1	0
PTBP1	exon 11	essential exon	PTBP2	NMD-promoting	0	0	0
PTBP1	exon 11	essential exon	RBM4	NMD-promoting	0	0	0
PTBP1	exon 11	essential exon	SRSF3	NMD-inhibiting	0	0	0
PTBP2	exon 10	essential exon	ELAVL1	NMD-promoting	0	1	0
PTBP2	exon 10	essential exon	PTBP1	NMD-promoting	1	1	0
PTBP2	exon 10	essential exon	PTBP2	NMD-promoting	0	0	0
PTBP2	exon 10	essential exon	PTBP3	NMD-promoting	0	0	0
PTBP2	exon 10	essential exon	RBFOX2	NMD-inhibiting	1	0	0
PTBP2	exon 10	essential exon	RBM4	NMD-promoting	0	0	0
PTBP2	exon 10	essential exon	SRRM4	NMD-inhibiting	0	1	0
PTBP2	exon 10	essential exon	SRSF3	NMD-inhibiting	0	0	0
PTBP3	exon 2	essential exon	PTBP1	NMD-promoting	1	1	0
PTBP3	exon 2	essential exon	PTBP2	NMD-promoting	0	0	0
RBFOX2	exon 5a	poison MXE	RBFOX3	NMD-promoting	0	0	0
RBFOX2	exon 6a	poison MXE	RBFOX3	NMD-promoting	0	0	0
RBM10	exon 12	essential exon	RBM10	NMD-promoting	0	0	0
RBM10	exon 6	essential exon	RBM10	NMD-promoting	0	0	0
RBM39	exon 3	poison exon	RBM39	NMD-promoting	0	0	0
RBM5	exon 16	essential exon	RBM10	NMD-promoting	0	0	0
RBM5	exon 6	essential exon	RBM10	NMD-promoting	0	0	0
REST	exon 4 ab	poison exon	SRRM4	NMD-promoting	0	0	0
RPL10A	intron 3	intron retention	RPL10A	NMD-promoting	0	0	0
RPL3	exon 4	poison 3' splice site	RPL3	NMD-promoting	0	0	0
RPS3	exon 2	poison 5' splice site	RPS3	NMD-promoting	1	0	0
SF1	exon 3	essential exon	RBFOX2	NMD-promoting	0	0	0
SFPQ	exon 10	poison 3' splice site	SFPQ	NMD-promoting	0	0	0
