sample_id	sampid	smtsd	total_junct_count	sf	TLS	TLS_global	total_gene_count	sf_global
1	GTEX-1117F-0426-SM-5EGHI	Muscle - Skeletal	9793936	0.5714285714285714	1976	1524176	19399137	0.5
2	GTEX-1117F-0626-SM-5N9CS	Artery - Coronary	8123864	1.032258064516129	3670	3862823	23069248	1.2038697890715828
3	GTEX-1117F-0726-SM-5GIEN	Heart - Atrial Appendage	12592786	0.7101449275362319	2642	2331894	18022869	0.7233859764568253
4	GTEX-1117F-1326-SM-5EGHH	Adipose - Visceral (Omentum)	13049980	0.8360148514851485	3160	2426913	17362055	0.75
5	GTEX-1117F-2426-SM-5EGGH	Uterus	13561238	1.0	3051	3134634	18398593	1.0384742994232046
6	GTEX-1117F-2526-SM-5GZY6	Vagina	11166140	1.00990099009901	4072	4334199	28042500	1.3023769187329945
7	GTEX-1117F-2826-SM-5GZXL	Breast - Mammary Tissue	15452561	1.1333333333333333	4502	3554642	20589734	1.1095687618506838
8	GTEX-1117F-2926-SM-5GZYI	Skin - Not Sun Exposed (Suprapubic)	15236755	0.9032258064516128	3485	3136780	22975573	0.9157066480825471
9	GTEX-1117F-3026-SM-5GZYU	Minor Salivary Gland	7508500	1.1656050955414012	5231	4034923	21431139	1.2445749431400097
10	GTEX-1117F-3226-SM-5N9CT	Brain - Cortex	11586581	0.5925925925925926	2430	3628209	22172660	1.0383158642190469
11	GTEX-111CU-0126-SM-5GZWZ	Adrenal Gland	15578149	1.2857142857142858	4751	4102350	25201769	1.2
12	GTEX-111CU-0226-SM-5GZXC	Thyroid	13633823	1.702127659574468	6531	4897296	28226358	1.5
13	GTEX-111CU-0326-SM-5GZXO	Lung	9308307	1.3703703703703705	5392	4302116	28506840	1.2356038924050434
14	GTEX-111CU-0526-SM-5EGHK	Pancreas	11551756	0.5	1852	1646414	26667877	0.5
15	GTEX-111CU-0626-SM-5EGHL	Esophagus - Muscularis	13487881	1.1111111111111112	3617	3046333	22898336	0.9771573582279252
16	GTEX-111CU-0726-SM-5GZYD	Esophagus - Mucosa	13575162	1.36	5576	4075392	31929232	1.1140272323018148
17	GTEX-111CU-0826-SM-5EGIJ	Esophagus - Gastroesophageal Junction	20065972	1.0	3360	3022987	21089390	1.0
18	GTEX-111CU-0926-SM-5EGIK	Stomach	11863683	0.6363636363636364	2164	2156609	12848235	0.6413296712396832
19	GTEX-111CU-1026-SM-5EGIL	Adipose - Visceral (Omentum)	11378407	1.0	3370	3035308	25357048	0.9420859216147145
20	GTEX-111CU-1126-SM-5EGIM	Skin - Not Sun Exposed (Suprapubic)	11879312	0.7073170731707317	2761	2536215	19055174	0.7709775661170241
21	GTEX-111CU-1226-SM-5EGIN	Colon - Sigmoid	11001624	1.0	3547	3069724	21245123	0.9748761370871541
22	GTEX-111CU-1326-SM-5NQ8L	Small Intestine - Terminal Ileum	9163115	1.212996389891697	4561	3831400	24596865	1.1148367456175565
23	GTEX-111CU-1426-SM-5GZYP	Colon - Transverse	9444733	1.0	4040	3800446	27534643	1.023520573277855
24	GTEX-111CU-1526-SM-5N9FS	Prostate	8813392	1.4	5219	6255966	34530104	2.0
25	GTEX-111CU-1726-SM-5EGHM	Testis	15567880	1.25	9798	5101754	21096035	1.5201770679971929
26	GTEX-111CU-1826-SM-5GZYN	Adipose - Subcutaneous	15508571	1.3225806451612905	4405	3670611	24582770	1.0780818877174905
27	GTEX-111CU-1926-SM-5GZYZ	Skin - Sun Exposed (Lower leg)	11666202	1.2	5347	0	-26137	-0.013513513513513514
28	GTEX-111CU-2026-SM-5GZZC	Muscle - Skeletal	16476609	0.8918918918918919	2571	2139417	27948167	0.5901003545405992
29	GTEX-111CU-2226-SM-5N9G5	Nerve - Tibial	10700971	1.2	4307	4821118	28473989	1.5325381140598533
30	GTEX-111FC-0126-SM-5N9DL	Skin - Sun Exposed (Lower leg)	13305912	1.1732851985559567	4636	4618201	39164632	1.308148436660578
31	GTEX-111FC-0226-SM-5N9B8	Adipose - Subcutaneous	17197421	1.8529411764705883	6942	5304331	30726227	1.6335205918777875
32	GTEX-111FC-0326-SM-5GZZ1	Muscle - Skeletal	8486617	0.5	1544	1578699	26270889	0.47495624270711784
33	GTEX-111FC-0426-SM-5N9CV	Artery - Tibial	15978277	1.0819672131147542	3732	3034714	26406881	0.8958423365024488
34	GTEX-111FC-0526-SM-5GZZ8	Nerve - Tibial	9672752	1.2777777777777777	5401	4328659	23010660	1.3775105183773915
35	GTEX-111FC-0626-SM-5N9CU	Heart - Atrial Appendage	18265809	0.7126436781609196	2796	2914389	19991572	0.892261630584984
36	GTEX-111FC-0826-SM-5GZWO	Heart - Left Ventricle	10907007	0.6538461538461539	2486	2704663	21531617	0.8221546185153812
37	GTEX-111FC-1026-SM-5GZX1	Thyroid	13553593	1.28	5406	4893556	24779883	1.5
38	GTEX-111FC-1126-SM-5GZWU	Lung	13524016	1.0	4922	3874350	22862024	1.1484319116595136
39	GTEX-111FC-1926-SM-5GZYC	Testis	9764095	1.2	11129	6597316	26258151	2.0
40	GTEX-111FC-2026-SM-5GZYO	Prostate	10674498	0.9	3636	4755738	23419546	1.5345757398650444
41	GTEX-111FC-2926-SM-5GZY7	Minor Salivary Gland	19664202	1.0	3858	3349100	23551785	0.9806758775205378
42	GTEX-111FC-3126-SM-5GZZ2	Brain - Cortex	13669863	1.0314465408805031	4949	4656684	27259870	1.3733803509922913
43	GTEX-111FC-3326-SM-5GZYV	Brain - Cerebellum	11722881	1.0	4372	3808874	21403822	1.1629697029313397
44	GTEX-111VG-0008-SM-5Q5BG	Cells - Transformed fibroblasts	10105364	1.0	2572	2453532	22613614	0.6284791369525244
45	GTEX-111VG-0326-SM-5GZX7	Heart - Atrial Appendage	26184749	0.6666666666666666	2387	2669915	20150816	0.8031596148892324
46	GTEX-111VG-0526-SM-5N9BW	Thyroid	17085001	0.8421052631578947	3484	4380652	20853699	1.4513102737115828
47	GTEX-111VG-0726-SM-5GIDC	Lung	22722447	1.2	5811	4836518	31930948	1.5931712962962963
48	GTEX-111VG-1626-SM-5EGIO	Skin - Not Sun Exposed (Suprapubic)	9718216	0.7692307692307693	2945	2712878	24287866	0.8036924734487431
49	GTEX-111VG-1926-SM-5GIDO	Testis	11591080	1.0	8200	4676849	20077083	1.4403955384048388
50	GTEX-111VG-2226-SM-5N9DU	Colon - Transverse	11447351	0.9423076923076924	3202	3914689	23430583	1.1462288237414393
51	GTEX-111VG-2326-SM-5N9BK	Adipose - Subcutaneous	6633599	1.2777777777777777	5024	4449858	28336569	1.3333333333333333
52	GTEX-111VG-2426-SM-5GZXD	Skin - Sun Exposed (Lower leg)	10558270	1.1111111111111112	4908	3874779	26974199	1.0904675344625163
53	GTEX-111VG-2526-SM-5GZXP	Nerve - Tibial	8311993	1.2142857142857142	4724	3974956	22990746	1.2318840579710144
54	GTEX-111VG-2626-SM-5GZY2	Muscle - Skeletal	9627253	0.6724137931034483	2552	1813415	32578859	0.5042341264974037
55	GTEX-111YS-0006-SM-5NQBE	Whole Blood	7163606	0.3125	715	1193745	27399306	0.3333333333333333
56	GTEX-111YS-0008-SM-5Q5BH	Cells - Transformed fibroblasts	19474716	1.1677852348993292	3282	2840160	26495304	0.8333333333333334
57	GTEX-111YS-0126-SM-5987T	Adrenal Gland	6682216	1.0	3160	3148990	20921840	0.9833301021067598
58	GTEX-111YS-0326-SM-5GZZ3	Heart - Atrial Appendage	10237278	0.8333333333333334	3226	2260116	20374022	0.6363636363636364
59	GTEX-111YS-0426-SM-5987O	Heart - Left Ventricle	5652674	0.5714285714285714	2091	1918967	21105950	0.5254822752282708
60	GTEX-111YS-0526-SM-5GZXJ	Artery - Aorta	6690333	1.0	3230	2619599	23338053	0.7578772354101699
61	GTEX-111YS-0626-SM-5GZXV	Lung	10926778	1.5	6663	4321465	27350667	1.2026334026334027
62	GTEX-111YS-0726-SM-5GZY8	Thyroid	10401907	1.1857142857142855	4719	3956484	20462740	1.2222222222222223
63	GTEX-111YS-0826-SM-5GZYK	Esophagus - Gastroesophageal Junction	11032451	1.1111111111111112	3986	2933187	21520162	0.9337912894030851
64	GTEX-111YS-0926-SM-5EGGI	Esophagus - Mucosa	14326228	1.1	4598	3152293	27292479	0.8555121736422959
65	GTEX-111YS-1026-SM-5GZYE	Esophagus - Muscularis	9413671	1.25	4018	3098061	25285275	0.9618947127439894
66	GTEX-111YS-1126-SM-5GZYQ	Stomach	5441781	0.7297297297297297	2796	2354682	14495204	0.6666666666666666
67	GTEX-111YS-1226-SM-5EGGJ	Pancreas	10863337	0.4761904761904762	1520	1662651	28890664	0.5017036197452625
68	GTEX-111YS-1326-SM-5EGGK	Adipose - Visceral (Omentum)	21932513	1.0	3273	2941454	24414201	0.9173505555502479
69	GTEX-111YS-1426-SM-5GID8	Small Intestine - Terminal Ileum	10624440	0.625	2302	2480738	22325838	0.672858731572928
70	GTEX-111YS-1526-SM-5GZYW	Skin - Not Sun Exposed (Suprapubic)	8536884	1.0	4253	3444162	22443591	1.0
71	GTEX-111YS-1626-SM-5GZZ9	Colon - Transverse	12231267	1.2571428571428571	4344	3217070	22181308	1.0
72	GTEX-111YS-1726-SM-5GIED	Prostate	13243000	1.0	3956	3446985	19138291	1.0889528700399476
73	GTEX-111YS-1826-SM-5GIEP	Colon - Sigmoid	10390340	1.06	3564	2841717	20283631	0.9074527146535565
74	GTEX-111YS-1926-SM-5GICC	Breast - Mammary Tissue	12732417	1.6333333333333333	6642	4696575	24888064	1.503491196114147
75	GTEX-111YS-2026-SM-5EGGL	Testis	18366977	1.2857142857142858	10682	5272462	21728848	1.6121198950815678
76	GTEX-111YS-2126-SM-5EGGM	Nerve - Tibial	11623465	1.0	4172	3300301	18858492	1.0689370033836445
77	GTEX-111YS-2226-SM-5987P	Artery - Tibial	8515556	1.027027027027027	3504	2616487	23739480	0.7881992525423982
78	GTEX-111YS-2326-SM-5987L	Muscle - Skeletal	12142653	0.7622377622377622	2414	1806152	25672597	0.5149928070490919
79	GTEX-111YS-2426-SM-5GZZQ	Adipose - Subcutaneous	8627875	1.1034482758620692	3858	2976402	20719219	0.929178300757878
80	GTEX-1122O-0003-SM-5Q5DL	Cells - EBV-transformed lymphocytes	13868080	2.0	5218	4474408	32443297	1.3602424875642893
81	GTEX-1122O-0005-SM-5O99J	Whole Blood	8470993	0.35135135135135137	1083	1139160	24145845	0.3168213553334993
82	GTEX-1122O-0008-SM-5QGR2	Cells - Transformed fibroblasts	15404096	1.0	2805	2375267	22853601	0.5380542986425338
83	GTEX-1122O-0126-SM-5GICA	Lung	11765883	1.2857142857142858	4988	4553152	26559145	1.2627140863722413
84	GTEX-1122O-0226-SM-5N9DA	Thyroid	11542641	0.9655172413793104	3586	3997956	22214020	1.1851851851851851
85	GTEX-1122O-0326-SM-5H124	Adrenal Gland	15262938	1.6666666666666667	6319	4913115	29550338	1.4937043548108664
86	GTEX-1122O-0426-SM-5H12G	Artery - Coronary	11566175	1.1555555555555554	4039	2980082	25515402	0.8923201904333091
87	GTEX-1122O-0526-SM-5N9DM	Spleen	10259376	1.3333333333333333	5020	5191585	28357449	1.543409320709624
88	GTEX-1122O-0626-SM-5N9B9	Heart - Atrial Appendage	12305993	1.0	4326	3151352	25312505	0.8916712838073093
89	GTEX-1122O-0726-SM-5GIEV	Pancreas	13604029	0.7526881720430108	2702	2689104	40738805	0.8333333333333334
90	GTEX-1122O-0826-SM-5GICV	Heart - Left Ventricle	10441527	0.6806569343065694	2541	1998987	20328780	0.5625
91	GTEX-1122O-0926-SM-5N9C9	Adipose - Visceral (Omentum)	15075287	0.8260869565217391	2330	0	-26137	-0.013513513513513514
92	GTEX-1122O-1126-SM-5NQ8X	Artery - Aorta	9641646	0.813953488372093	2603	2334566	22543085	0.6521739130434783
93	GTEX-1122O-1226-SM-5H113	Breast - Mammary Tissue	14422513	1.5	5939	4604304	26200107	1.4071482866611937
94	GTEX-1122O-1326-SM-5H11F	Small Intestine - Terminal Ileum	10845949	0.875	3954	3320876	24133434	0.9350598540739385
95	GTEX-1122O-1426-SM-5H11R	Colon - Sigmoid	8985505	1.3333333333333333	4509	4007496	26406212	1.2430604040792006
96	GTEX-1122O-1526-SM-5N9CL	Colon - Transverse	17597937	0.9473684210526316	3556	3240926	22585231	0.939262187088274
97	GTEX-1122O-1626-SM-5N9CX	Esophagus - Muscularis	10550660	1.2	4000	3201870	25475313	1.0
98	GTEX-1122O-1726-SM-5GICM	Esophagus - Mucosa	15993772	0.8648648648648649	2845	2664085	29453379	0.74346686327517
99	GTEX-1122O-1826-SM-5EGIP	Esophagus - Gastroesophageal Junction	10859049	1.0	3165	2781783	20412830	0.8931928508384819
100	GTEX-1122O-1926-SM-5EGIQ	Stomach	10925884	0.5	1760	1921430	12323962	0.5814122964099606
101	GTEX-1122O-2026-SM-5NQ91	Adipose - Subcutaneous	13231789	1.1330472103004292	3743	0	-26137	-0.013513513513513514
102	GTEX-1122O-2126-SM-5EGIR	Skin - Sun Exposed (Lower leg)	11779475	0.5454545454545454	1832	3015395	25141404	0.7774744046791996
103	GTEX-1122O-2426-SM-5GIDN	Muscle - Skeletal	12043124	0.6666666666666666	1952	1630911	21854018	0.45454545454545453
104	GTEX-1128S-0005-SM-5P9HI	Whole Blood	10839839	0.4594594594594595	1499	1693756	28877022	0.5277281232929253
105	GTEX-1128S-0008-SM-5Q5DP	Cells - Transformed fibroblasts	9899298	1.5283018867924532	4539	3553903	35465809	1.0310619308930833
106	GTEX-1128S-0126-SM-5H12S	Thyroid	10420386	1.1578947368421053	5155	3961501	20603848	1.2459529846053994
107	GTEX-1128S-0326-SM-5GZZF	Artery - Aorta	9687410	1.037037037037037	3864	3350554	27232581	1.0291928641769563
108	GTEX-1128S-0726-SM-5N9D6	Lung	9106655	1.0869565217391304	5275	3747058	23208722	1.074851737228058
109	GTEX-1128S-0826-SM-5GZZI	Pancreas	11087481	0.6	1939	2202667	37227946	0.6517635518029656
110	GTEX-1128S-0926-SM-5GZZU	Adipose - Visceral (Omentum)	10815998	1.28	4277	3926793	26840513	1.1106109869161576
111	GTEX-1128S-1626-SM-5H12O	Colon - Transverse	10553502	1.0	3486	4013758	21309678	1.1303661739914532
112	GTEX-1128S-2126-SM-5H12U	Adipose - Subcutaneous	14187047	1.0	3183	2887073	21052347	0.875
113	GTEX-1128S-2326-SM-5GZZY	Skin - Sun Exposed (Lower leg)	14037335	1.2105263157894737	5077	4479408	29461467	1.3111841189056426
114	GTEX-1128S-2426-SM-5H11B	Muscle - Skeletal	13063390	0.75	2212	2059470	31504479	0.5725983366061662
115	GTEX-1128S-2526-SM-5H11N	Artery - Tibial	8713263	0.9230769230769232	2852	2761917	22754176	0.8240973385445747
116	GTEX-1128S-2726-SM-5H12C	Brain - Cortex	11799891	0.902439024390244	3708	4110581	25809847	1.105263157894737
117	GTEX-1128S-2826-SM-5N9DI	Brain - Cerebellum	12542144	0.5789473684210527	2456	3078580	17873858	0.9508852299384765
118	GTEX-113IC-0006-SM-5NQ9C	Whole Blood	12728009	0.6666666666666666	1714	2432844	21847842	0.7058823529411765
119	GTEX-113IC-0008-SM-5QGRF	Cells - Transformed fibroblasts	14703768	1.0	2778	2678724	27274427	0.7796177425171295
120	GTEX-113IC-0226-SM-5HL5C	Adipose - Subcutaneous	18478229	1.125	4617	3743993	22105438	1.1136426943530007
121	GTEX-113IC-0426-SM-5HL5O	Artery - Tibial	11115933	1.0263157894736843	3505	3678032	24945461	1.0245408009635653
122	GTEX-113IC-0526-SM-5HL76	Nerve - Tibial	21262913	1.0098039215686274	4105	3497803	19434658	1.0704817500142458
123	GTEX-113JC-0006-SM-5O997	Whole Blood	16737040	0.2280701754385965	812	767419	24320178	0.20121022349600598
124	GTEX-113JC-0008-SM-5QGR6	Cells - Transformed fibroblasts	20196612	1.0769230769230769	3206	2758605	26553355	0.6776709389894611
125	GTEX-113JC-0126-SM-5EGJW	Thyroid	14900345	1.0	4256	3410623	22099948	1.1259540412438058
126	GTEX-113JC-0726-SM-5GZZR	Adipose - Visceral (Omentum)	19871158	1.0	3894	3136366	21172278	1.0
127	GTEX-113JC-0926-SM-5H114	Esophagus - Muscularis	9935991	0.6666666666666666	2088	2585856	18781272	0.8325931160218816
128	GTEX-113JC-1026-SM-5H117	Esophagus - Gastroesophageal Junction	10391420	0.75	2340	2958677	23140204	0.9461381574624159
129	GTEX-113JC-1926-SM-5N9GE	Vagina	10353619	1.0	4154	4924827	32596543	1.5181748260483363
130	GTEX-113JC-2226-SM-5EGJG	Uterus	12300537	1.0769230769230769	3808	3652640	22256602	1.2162162162162162
131	GTEX-113JC-2326-SM-5EQ4E	Skin - Sun Exposed (Lower leg)	10236438	1.2142857142857142	5407	3938364	26449353	1.1065120513029538
132	GTEX-113JC-2726-SM-5EGIS	Muscle - Skeletal	19418960	0.4318181818181818	1458	1307592	22561357	0.3810387273742254
133	GTEX-113JC-2826-SM-5EGIT	Pituitary	12703102	0.8333333333333334	3422	3156328	21066698	1.02108047194662
134	GTEX-117XS-0005-SM-5PNU6	Whole Blood	13247660	0.0	0	555787	18326039	0.12149359165096263
135	GTEX-117XS-0008-SM-5Q5DQ	Cells - Transformed fibroblasts	11725356	1.7037037037037035	5049	3762523	36502087	1.08014598540146
136	GTEX-117XS-0426-SM-5GZZN	Artery - Aorta	11493096	1.0	2965	2857319	28106848	0.9106443924259369
137	GTEX-117XS-0526-SM-5987Q	Thyroid	10402523	1.0	4247	3402782	17918073	1.083507758457196
138	GTEX-117XS-0726-SM-5H131	Heart - Atrial Appendage	10289630	0.5238095238095238	1919	2334187	18047312	0.683610826087065
139	GTEX-117XS-1926-SM-5GICO	Breast - Mammary Tissue	12044153	1.5894736842105264	6793	4640734	30069350	1.5714285714285714
140	GTEX-117XS-2026-SM-5GID1	Testis	12591843	1.1423841059602649	10070	5651253	23267116	1.7
141	GTEX-117XS-2226-SM-5GIE1	Colon - Sigmoid	10948644	0.825	2584	3104625	21629598	0.96988241881299
142	GTEX-117XS-2526-SM-5H11G	Muscle - Skeletal	8859395	0.5	1795	1432897	28446584	0.38134515643299316
143	GTEX-117XS-2726-SM-5N9BL	Skin - Sun Exposed (Lower leg)	12761961	1.0	3805	4023367	30903263	1.1564807946827234
144	GTEX-117XS-2926-SM-5N9BX	Pituitary	11345962	1.25	5670	5273234	41107701	1.6653035833914385
145	GTEX-117XS-3026-SM-5N9CA	Brain - Cortex	9822548	1.0	4684	4953507	31914347	1.3742520874351944
146	GTEX-117XS-3126-SM-5GIDP	Brain - Cerebellum	13466598	0.9166666666666666	3769	3196231	18445257	1.0
147	GTEX-117YW-0005-SM-5NQ8Z	Whole Blood	11527235	0.3333333333333333	802	1056014	21226857	0.2903225806451613
148	GTEX-117YW-0008-SM-5QGRD	Cells - Transformed fibroblasts	13266656	1.0	2770	2572598	25694242	0.7222222222222222
149	GTEX-117YW-0126-SM-5EGGN	Thyroid	5883702	0.8333333333333334	3686	3048506	16192863	1.0364466583644667
150	GTEX-117YW-0226-SM-5N9CM	Artery - Aorta	17584853	0.8	2623	3129566	29179444	1.0
151	GTEX-117YW-0326-SM-5N9CY	Heart - Left Ventricle	7922363	0.3333333333333333	1121	1606848	14717326	0.46486009240421666
152	GTEX-117YW-0526-SM-5H11C	Lung	11881523	1.0	3589	3538590	23630429	1.19763298295907
153	GTEX-117YW-0826-SM-5H11O	Adipose - Visceral (Omentum)	13306093	1.0	4180	3687454	20318409	1.1
154	GTEX-117YW-1426-SM-5EGGO	Prostate	6990881	0.7058823529411765	2880	2816792	14856607	0.9456294342368565
155	GTEX-117YW-1526-SM-5EGGP	Testis	12076268	0.9615384615384616	8818	4488820	19717621	1.3290328667092575
156	GTEX-117YW-1826-SM-5PNY5	Colon - Transverse	18259387	1.0	4599	3419937	30593166	0.9862211349280314
157	GTEX-117YW-1926-SM-5H121	Esophagus - Mucosa	5633423	0.4729064039408867	1662	2642520	30773990	0.6820860784203315
158	GTEX-117YW-2026-SM-5N9BH	Esophagus - Muscularis	11745714	0.6710526315789473	2035	3487493	24297718	1.0134315416037665
