Organism	Target	AS event position	AS type	PTC position	Regulators	Regulation	NMD inactivation -> AS	Regulator perturbation without NMD inactivation -> AS	Regulator perturbation with NMD inactivation (or minigene) -> AS	Regulator perturbation ->  protein expression	Regulator perturbation ->  mRNA expression	Target gene paralogs [21880147]	Notes on determining AS isoform coordinates in hg19	"AS element nucleotide conservation, PhastCons 100 vert."	NMD site upstream hg19	NMD site downstream hg19	NMD junction upstream hg19	NMD junction downstream hg19	coding site upstream hg19	coding site downstream hg19	coding junction upstream hg19	coding junction downstream hg19	rMATS AS type
human	PTBP2	exon 10	essential exon	downstream	"PTBP1;
PTBP2;
PTBP3;
ELAVL1;
SRSF3"	"NMD-promoting;
NMD-promoting;
NMD-promoting;
NMD-promoting;
NMD-inhibiting"	yes	"yes;
NA;
NA;
yes;
NA"	"yes;
yes;
yes;
NA;
NA"	"yes;
NA;
NA;
yes;
yes"	"NA;
NA;
NA;
NA;
NA"	"PTBP1;
PTBP3;
RBM20"	-	yes			chr1_97270495_97272422_+				chr1_97270495_97271975_+	chr1_97272008_97272422_+	CE
mouse	PTBP2	exon 10	essential exon	downstream	"PTBP1;
RBFOX2;
SRRM4;
RBM4"	"NMD-promoting;
NMD-inhibiting;
NMD-inhibiting;
NMD-promoting"	yes	"yes;
yes;
yes;
yes"	"NA;
yes;
NA;
yes"	"yes;
NA;
yes;
yes"	"NA;
yes;
yes;
NA"		Nucleotide sequence of exon 10 and flanking introns is highly conserved between human and mouse genomes.	yes			chr1_97270495_97272422_+				chr1_97270495_97271975_+	chr1_97272008_97272422_+	CE
human	PTBP3	exon 2	essential exon	downstream	"PTBP1; 
PTBP2"	"NMD-promoting;
NMD-promoting"	no	"yes;
yes"	"yes;
yes"	"NA;
NA"	"NA;
NA"	"PTBP1;
PTBP2;
RBM20"	-	yes			chr9_115060196_115095750_-				chr9_115060196_115092721_-	chr9_115092754_115095750_-	CE
human	PTBP1	exon 11	essential exon	downstream	"PTBP2; 
PTBP1;
SRSF3"	"NMD-promoting;
NMD-promoting;
NMD-inhibiting"	yes	"NA;
NA;
NA"	"yes;
yes;
NA"	"no;
NA;
yes"	"NA;
NA;
NA"	"PTBP2;
PTBP3"	-	yes			chr19_806556_808360_+				chr19_806556_807869_+	chr19_807902_808360_+	CE
mouse	PTBP1	exon 11	essential exon	downstream	RBM4	NMD-promoting	yes	no	yes	yes	NA		Orthologous mouse event happens in the exon 10. Nucleotide sequence of CE and flanking introns is highly conserved between human and mouse genomes.	yes			chr19_806556_808360_+				chr19_806556_807869_+	chr19_807902_808360_+	CE
human	FUS	exon 7	essential exon	downstream	FUS	NMD-promoting	yes	yes	yes	yes	no	"EWSR1;
TAF15"	-	yes			chr16_31196500_31199646_+				chr16_31196500_31198123_+	chr16_31198157_31199646_+	CE
mouse	FUS	exon 7	essential exon	downstream	TARDBP	NMD-inhibiting	yes	NA	NA	yes	yes		Nucleotide sequence of the CE and flanking introns is highly conserved between human and mouse genomes.	yes			chr16_31196500_31199646_+				chr16_31196500_31198123_+	chr16_31198157_31199646_+	CE
human	HNRNPDL	3'UTR	poison exon	upstream	"HNRNPDL;
HNRNPD"	"NMD-promoting;
NMD-promoting"	yes	"yes;
yes"	"yes;
NA"	"yes;
yes"	"yes;
NA"	"HNRNPD;
HNRNPAB;
MSI2;
MSI1;
HNRNPA1;
NCL;
SLIRP;
TRNAU1AP"	-				chr4_83346036_83346716_-	chr4_83346820_83347190_-			chr4_83346036_83347190_-		CE
human	HNRNPD	3'UTR	poison exon	upstream	"HNRNPDL;
HNRNPD"	"NMD-promoting;
NMD-promoting"	yes	"yes;
yes"	"yes;
yes"	"yes;
yes"	"NA;
NA"	"HNRNPDL;
HNRNPAB;
HNRNPA1;
NCL;
SLIRP;
TRNAU1AP"	-				chr4_83275307_83276048_-	chr4_83276154_83276457_-			chr4_83275307_83276457_-		CE
human	HNRNPLL	exon 6a	poison exon	within	HNRNPL	NMD-promoting	yes	yes	yes	yes	yes	"HNRNPL;
RBM20"	-	yes			chr2_38804674_38805062_-	chr2_38805144_38809055_-			chr2_38804674_38809055_-		CE
human	HNRNPL	exon 6a	poison exon	within	"HNRNPL;
HNRNPLL;
SRSF3"	"NMD-promoting;
NMD-promoting;
NMD-inhibiting"	yes	"no;
NA;
NA"	"yes;
NA;
NA"	"yes;
yes;
yes"	"NA;
yes;
NA"	"HNRNPLL;
RBM20"	-	yes			chr19_39331199_39332253_-	chr19_39332322_39334482_-			chr19_39331199_39334482_-		CE
human	HNRNPA2B1	3'UTR	intron detention	upstream	"HNRNPA2B1;
HNRNPA1
"	"NMD-promoting;
NMD-promoting"	yes	"yes;
yes"	"NA;
NA"	"NA;
yes"	"yes;
yes"	"HNRNPA3;
HNRNPA1;
HNRNPA1L2;
HNRNPA0;
HNRNPAB;
A1CF;
NCL;
SLIRP;
TRNAU1AP"	-	yes			chr7_26230080_26230613_-		chr7_26230080_-	chr7_26230613_-			IR
mouse	TIA1	exon 7a	poison exon	within	"RBFOX2;
TIA1"	"NMD-inhibiting;
NMD-promoting
"	no	"yes;
yes"	"yes;
yes"	"yes;
-"	"yes;
-"	"TIAL1;
TRNAU1AP"	Nucleotide sequence of the CE is highly conserved between human and mouse genomes.	yes			chr2_70451761_70452460_-	chr2_70452525_70454867_-			chr2_70451761_70454867_-		CE
human	RBFOX2	exon 6a	poison MXE	downstream	RBFOX3	NMD-promoting	NA	yes	NA	NA	NA	"RBFOX1;
RBFOX3"	-	yes			chr22_36157515_36163415_-	chr22_36163488_36164304_-			chr22_36157515_36161470_-	chr22_36161530_36164304_-	MXE
mouse	RBFOX2	exon 6a	poison MXE	downstream	RBFOX3	NMD-promoting	no	no	yes	NA	NA		MXE exons are highly conservative between mouse and human	yes			chr22_36157515_36163415_-	chr22_36163488_36164304_-			chr22_36157515_36161470_-	chr22_36161530_36164304_-	MXE
